lead_id,student_id,lead_created_date,lead_source,marketing_cost,region,device_type,contact_attempts,response_time_hours,lead_stage,contacted_date,demo_date,followup_count,sales_cycle_days,contract_date,contract_value,payment_plan,discount_percent,course_category,course_level,renewal_flag,sales_rep,team,tenure_months,quota_monthly,churn_risk_score,CLV_estimate,probability_to_renew
1,16795,2024-01-10,TikTok,9.52,HCM,Mobile,6,46.6,Demo,2024-01-13,2024-01-15,9,8,,0,,0,,,0,Duc,Beta,14,58591,0.358,0.0,0.527
2,1860,2024-12-23,TikTok,13.57,HCM,Desktop,7,38.2,Demo,2024-12-27,2024-12-30,0,12,,0,,0,,,0,My,Gamma,9,67766,0.934,0.0,0.499
3,77820,2024-05-07,TikTok,6.62,DN,Desktop,3,52.1,Contacted,2024-05-10,2024-05-15,6,6,,0,,0,,,0,Minh,Alpha,39,71798,0.808,0.0,0.585
4,55886,2024-06-27,TikTok,6.39,HN,Mobile,3,16.2,New,2024-07-01,2024-07-04,9,35,,0,,0,,,0,Vy,Beta,46,28008,0.127,0.0,0.086
5,7265,2024-07-11,Google Ads,1.05,HN,Desktop,5,1.2,Contacted,2024-07-14,2024-07-16,0,6,,0,,0,,,0,My,Beta,27,45069,0.958,0.0,0.985
6,83386,2024-04-01,Facebook,9.59,DN,Mobile,4,49.2,New,2024-04-02,2024-04-02,2,6,,0,,0,,,0,My,Alpha,1,75462,0.112,0.0,0.905
7,38194,2024-08-18,Google Ads,1.42,HCM,Mobile,2,8.7,Won,2024-08-21,2024-08-23,8,35,2024-09-22,721,Installment,10,TOEIC,Intermediate,0,My,Alpha,44,55217,0.016,816.85,0.195
8,88498,2024-03-18,Referral,8.06,DN,Mobile,6,18.1,Won,2024-03-20,2024-03-23,5,44,2024-05-01,1093,Full,15,IELTS,Beginner,0,Minh,Delta,4,57596,0.47,1209.15,0.651
9,45131,2024-03-25,Google Ads,12.26,DN,Mobile,6,22.4,Contacted,2024-03-29,2024-04-04,7,11,,0,,0,,,0,Lan,Beta,31,24368,0.907,0.0,0.68
10,61263,2024-01-30,Google Ads,8.7,HCM,Desktop,4,53.9,New,2024-02-02,2024-02-04,8,38,,0,,0,,,0,My,Delta,15,75973,0.128,0.0,0.105
11,17023,2024-07-31,Referral,4.77,HN,Desktop,6,45.3,Demo,2024-08-04,2024-08-05,6,27,,0,,0,,,0,Khanh,Delta,1,79717,0.053,0.0,0.092
12,42090,2024-02-18,Google Ads,12.01,DN,Desktop,4,13.7,Demo,2024-02-18,2024-02-22,7,26,,0,,0,,,0,Vy,Alpha,8,53021,0.791,0.0,0.507
13,68221,2024-09-21,Facebook,4.78,HCM,Desktop,5,43.2,Won,2024-09-25,2024-09-26,3,28,2024-10-19,2585,Installment,5,TOEIC,Beginner,0,Khanh,Beta,47,40950,0.476,5354.06,0.881
14,65820,2024-05-24,Website,11.26,HCM,Desktop,5,51.1,Demo,2024-05-27,2024-06-02,4,8,,0,,0,,,0,Vy,Gamma,6,54183,1.0,0.0,0.03
15,1769,2024-03-09,Referral,9.54,DN,Desktop,5,28.3,Won,2024-03-13,2024-03-16,6,25,2024-04-03,740,Full,10,Business English,Advanced,0,Vy,Gamma,27,69847,0.123,1218.28,0.296
16,60735,2024-02-27,TikTok,3.38,HCM,Desktop,1,18.1,New,2024-02-29,2024-03-05,8,19,,0,,0,,,0,Long,Delta,26,70747,0.048,0.0,0.892
17,63955,2024-07-03,Facebook,13.67,DN,Desktop,1,49.0,Contacted,2024-07-05,2024-07-10,7,16,,0,,0,,,0,My,Gamma,2,30418,0.288,0.0,0.324
18,65925,2024-03-02,Website,3.81,HN,Desktop,6,44.2,Won,2024-03-05,2024-03-10,6,26,2024-03-28,2997,Full,15,Communicative,Advanced,0,Khanh,Gamma,13,26539,0.103,5542.08,0.154
19,68969,2024-11-03,Facebook,14.85,DN,Desktop,2,6.1,New,2024-11-06,2024-11-10,3,44,,0,,0,,,0,Minh,Alpha,30,20080,0.074,0.0,0.363
20,6311,2024-10-22,Facebook,1.1,HN,Desktop,2,48.2,Contacted,2024-10-26,2024-10-30,0,15,,0,,0,,,0,Khanh,Alpha,7,37900,0.996,0.0,0.91
21,84104,2024-06-14,TikTok,4.69,HCM,Desktop,5,35.4,Contacted,2024-06-15,2024-06-17,0,39,,0,,0,,,0,Khanh,Beta,34,74286,0.907,0.0,0.3
22,54707,2024-06-19,Website,3.8,DN,Mobile,3,54.4,Demo,2024-06-21,2024-06-22,4,12,,0,,0,,,0,Duc,Delta,33,70819,0.528,0.0,0.395
23,86305,2024-03-03,Facebook,1.2,HCM,Desktop,2,14.1,Contacted,2024-03-05,2024-03-11,6,24,,0,,0,,,0,My,Alpha,27,37424,0.036,0.0,0.256
24,29693,2024-05-26,TikTok,11.25,DN,Desktop,6,19.0,Won,2024-05-26,2024-05-31,7,13,2024-06-08,2499,Installment,0,TOEIC,Advanced,0,Minh,Delta,23,50746,0.846,5533.39,0.251
25,72932,2024-11-01,Referral,10.71,HCM,Desktop,7,39.3,Won,2024-11-01,2024-11-03,6,17,2024-11-18,2745,Full,15,TOEIC,Beginner,0,Minh,Alpha,40,50638,0.368,3967.41,0.396
26,94016,2024-06-09,TikTok,12.09,HN,Desktop,1,34.9,Won,2024-06-10,2024-06-13,3,13,2024-06-22,2007,Full,5,TOEIC,Beginner,0,Vy,Delta,16,42483,0.728,2207.71,0.202
27,26658,2024-05-20,Google Ads,4.59,DN,Desktop,7,28.1,Contacted,2024-05-22,2024-05-26,6,17,,0,,0,,,0,Vy,Delta,43,69186,0.742,0.0,0.618
28,85478,2024-11-29,TikTok,7.22,HCM,Mobile,7,53.8,Lost,2024-12-02,2024-12-04,5,43,,0,,0,,,0,Khanh,Gamma,23,48572,0.882,0.0,0.307
29,19431,2024-04-06,TikTok,10.23,DN,Mobile,6,40.9,Negotiation,2024-04-08,2024-04-12,7,1,,0,,0,,,0,Long,Delta,25,50604,0.999,0.0,0.618
30,3747,2024-08-08,TikTok,7.16,DN,Desktop,6,51.3,Contacted,2024-08-11,2024-08-12,8,11,,0,,0,,,0,Hoa,Alpha,7,49457,0.913,0.0,0.622
31,60150,2024-02-12,Facebook,10.76,HN,Desktop,1,11.5,New,2024-02-15,2024-02-20,0,20,,0,,0,,,0,My,Delta,39,76546,0.771,0.0,0.896
32,66725,2024-10-18,Website,9.88,HCM,Desktop,4,52.6,Negotiation,2024-10-19,2024-10-22,1,31,,0,,0,,,0,Khanh,Alpha,2,77562,0.344,0.0,0.568
33,85654,2024-04-17,TikTok,2.61,DN,Mobile,7,33.5,Negotiation,2024-04-19,2024-04-20,7,44,,0,,0,,,0,Minh,Alpha,25,63371,0.899,0.0,0.841
34,36773,2024-09-22,TikTok,11.93,DN,Desktop,5,2.9,New,2024-09-26,2024-09-28,6,35,,0,,0,,,0,Long,Gamma,45,56285,0.291,0.0,0.717
