date,student_id,course_category,team,sales_rep,contract_value,contract_status
2024-07-31,STU_0001,Business English,Team Delta,Rep_12,1326000,Active
2024-07-15,STU_0002,Business English,Team Sigma,Rep_10,1659000,Active
2024-03-18,STU_0003,Kids English,Team Delta,Rep_10,1060000,Active
2024-02-28,STU_0004,Business English,Team Sigma,Rep_14,1494000,Active
2024-03-05,STU_0005,TOEIC,Team Alpha,Rep_2,1330000,Active
2025-11-04,STU_0006,TOEIC,Team Bravo,Rep_3,1295000,Active
2025-04-01,STU_0007,IELTS,Team Delta,Rep_6,1924000,Active
2024-03-05,STU_0008,Business English,Team Alpha,Rep_9,1244000,Active
2025-01-30,STU_0009,IELTS,Team Bravo,Rep_8,1838000,Cancelled
2024-02-06,STU_0010,Kids English,Team Delta,Rep_3,321000,Active
2025-09-03,STU_0011,Academic Skills,Team Alpha,Rep_6,666000,Active
2024-12-01,STU_0012,Academic Skills,Team Bravo,Rep_15,1438000,Cancelled
2024-03-01,STU_0013,Academic Skills,Team Bravo,Rep_1,530000,Cancelled
2024-03-01,STU_0014,Business English,Team Sigma,Rep_15,1682000,Active
2025-08-29,STU_0015,IELTS,Team Sigma,Rep_10,287000,Active
2025-02-27,STU_0016,Business English,Team Alpha,Rep_3,1596000,Active
2024-08-23,STU_0017,IELTS,Team Alpha,Rep_14,1323000,Active
2025-11-10,STU_0018,Kids English,Team Delta,Rep_12,1071000,Active
2025-01-06,STU_0019,IELTS,Team Sigma,Rep_9,1887000,Active
2024-12-01,STU_0020,TOEIC,Team Sigma,Rep_1,330000,Active
2024-01-21,STU_0021,Kids English,Team Sigma,Rep_8,1885000,Cancelled
2025-12-10,STU_0022,Kids English,Team Bravo,Rep_5,1532000,Cancelled
2025-09-19,STU_0023,Business English,Team Alpha,Rep_15,969000,Active
2024-08-30,STU_0024,Business English,Team Bravo,Rep_3,543000,Active
2024-06-19,STU_0025,Business English,Team Delta,Rep_2,1715000,Active
2025-07-06,STU_0026,Kids English,Team Bravo,Rep_9,1637000,Active
2025-07-10,STU_0027,Academic Skills,Team Sigma,Rep_9,1005000,Active
2025-07-27,STU_0028,Academic Skills,Team Delta,Rep_3,585000,Active
2024-01-26,STU_0029,IELTS,Team Alpha,Rep_7,1415000,Active
2024-12-07,STU_0030,Academic Skills,Team Bravo,Rep_8,1155000,Active
2024-08-27,STU_0031,TOEIC,Team Delta,Rep_14,476000,Active
2024-07-16,STU_0032,Business English,Team Bravo,Rep_8,1384000,Active
2025-09-21,STU_0033,Kids English,Team Delta,Rep_2,659000,Active
2024-11-01,STU_0034,Academic Skills,Team Sigma,Rep_13,1537000,Active
2025-11-03,STU_0035,IELTS,Team Delta,Rep_4,221000,Cancelled
2024-06-21,STU_0036,Kids English,Team Delta,Rep_7,452000,Active
2025-10-20,STU_0037,Kids English,Team Delta,Rep_15,947000,Active
2025-10-13,STU_0038,Business English,Team Bravo,Rep_3,1056000,Active
2024-01-16,STU_0039,Business English,Team Sigma,Rep_14,1784000,Active
2024-09-02,STU_0040,IELTS,Team Alpha,Rep_8,674000,Active
2025-12-14,STU_0041,Academic Skills,Team Sigma,Rep_6,1282000,Active
2024-06-01,STU_0042,TOEIC,Team Bravo,Rep_3,710000,Active
2025-02-05,STU_0043,IELTS,Team Sigma,Rep_6,1905000,Active
2025-02-07,STU_0044,TOEIC,Team Bravo,Rep_6,1699000,Cancelled
2024-11-21,STU_0045,TOEIC,Team Alpha,Rep_12,899000,Active
2024-01-04,STU_0046,Business English,Team Alpha,Rep_7,1175000,Active
2024-06-07,STU_0047,Business English,Team Alpha,Rep_14,389000,Cancelled
2024-08-03,STU_0048,Academic Skills,Team Delta,Rep_9,1157000,Active
2024-04-08,STU_0049,Academic Skills,Team Sigma,Rep_7,886000,Cancelled
2025-04-25,STU_0050,Academic Skills,Team Bravo,Rep_11,1157000,Active
2024-12-25,STU_0051,Academic Skills,Team Sigma,Rep_10,762000,Active
2024-10-20,STU_0052,Academic Skills,Team Bravo,Rep_3,1790000,Active
2024-04-10,STU_0053,Business English,Team Bravo,Rep_8,1467000,Active
2025-06-28,STU_0054,Academic Skills,Team Delta,Rep_15,1031000,Active
2024-12-10,STU_0055,Business English,Team Alpha,Rep_14,1728000,Active
2025-10-09,STU_0056,IELTS,Team Bravo,Rep_4,1354000,Active
2025-06-23,STU_0057,Kids English,Team Sigma,Rep_2,1708000,Active
2024-01-18,STU_0058,Business English,Team Delta,Rep_10,846000,Active
2025-03-12,STU_0059,Kids English,Team Bravo,Rep_4,220000,Cancelled
2024-08-05,STU_0060,Business English,Team Sigma,Rep_13,1040000,Cancelled
2024-12-28,STU_0061,IELTS,Team Alpha,Rep_15,366000,Cancelled
2025-02-14,STU_0062,Academic Skills,Team Bravo,Rep_8,1497000,Active
2025-11-08,STU_0063,Kids English,Team Alpha,Rep_15,587000,Active
2025-02-13,STU_0064,IELTS,Team Bravo,Rep_1,800000,Active
2025-11-09,STU_0065,Academic Skills,Team Bravo,Rep_3,515000,Active
2025-01-17,STU_0066,Academic Skills,Team Bravo,Rep_14,213000,Active
2024-12-28,STU_0067,Business English,Team Sigma,Rep_8,441000,Active
2025-06-19,STU_0068,Business English,Team Delta,Rep_6,976000,Active
2025-10-17,STU_0069,TOEIC,Team Alpha,Rep_1,1569000,Active
2024-10-07,STU_0070,TOEIC,Team Sigma,Rep_6,764000,Active
2024-05-28,STU_0071,Business English,Team Bravo,Rep_12,1097000,Active
2025-10-31,STU_0072,Academic Skills,Team Bravo,Rep_3,1563000,Active
2025-08-28,STU_0073,Academic Skills,Team Delta,Rep_8,291000,Cancelled
2024-11-09,STU_0074,Kids English,Team Bravo,Rep_9,1590000,Active
2024-02-01,STU_0075,TOEIC,Team Bravo,Rep_1,1155000,Active
2025-12-28,STU_0076,TOEIC,Team Delta,Rep_10,1678000,Active
2024-02-04,STU_0077,Business English,Team Delta,Rep_4,1651000,Active
2025-09-28,STU_0078,IELTS,Team Delta,Rep_7,708000,Active
2024-07-20,STU_0079,IELTS,Team Bravo,Rep_4,975000,Active
2024-06-12,STU_0080,IELTS,Team Sigma,Rep_9,234000,Active
2025-10-05,STU_0081,Academic Skills,Team Alpha,Rep_1,405000,Active
2025-02-05,STU_0082,IELTS,Team Delta,Rep_7,1304000,Active
2024-03-01,STU_0083,IELTS,Team Sigma,Rep_11,1785000,Active
2024-01-14,STU_0084,IELTS,Team Bravo,Rep_7,1611000,Cancelled
2025-09-01,STU_0085,TOEIC,Team Sigma,Rep_9,1225000,Active
2025-12-02,STU_0086,Academic Skills,Team Bravo,Rep_10,1221000,Active
2025-07-15,STU_0087,TOEIC,Team Alpha,Rep_12,1613000,Cancelled
2025-03-09,STU_0088,TOEIC,Team Sigma,Rep_5,765000,Active
2024-03-25,STU_0089,Academic Skills,Team Alpha,Rep_1,1329000,Active
2024-12-17,STU_0090,IELTS,Team Sigma,Rep_9,1995000,Active
2024-09-24,STU_0091,Business English,Team Bravo,Rep_4,1700000,Active
2024-12-26,STU_0092,Academic Skills,Team Alpha,Rep_14,902000,Cancelled
2025-10-29,STU_0093,Business English,Team Sigma,Rep_13,601000,Active
2025-01-28,STU_0094,IELTS,Team Sigma,Rep_9,929000,Cancelled
2024-05-31,STU_0095,Business English,Team Sigma,Rep_4,1779000,Active
2025-10-16,STU_0096,Kids English,Team Alpha,Rep_8,361000,Active
2024-06-01,STU_0097,TOEIC,Team Bravo,Rep_5,401000,Active
2025-07-15,STU_0098,Business English,Team Delta,Rep_6,1195000,Active
2025-02-19,STU_0099,Kids English,Team Sigma,Rep_10,469000,Active
2025-01-29,STU_0100,Academic Skills,Team Bravo,Rep_15,1015000,Cancelled
2025-02-15,STU_0101,TOEIC,Team Delta,Rep_5,1494000,Active
2025-10-27,STU_0102,Kids English,Team Alpha,Rep_5,655000,Cancelled
2025-12-07,STU_0103,IELTS,Team Sigma,Rep_3,1685000,Active
2024-11-14,STU_0104,Academic Skills,Team Bravo,Rep_8,1950000,Cancelled
2025-09-22,STU_0105,IELTS,Team Bravo,Rep_9,1475000,Active
2025-01-18,STU_0106,Academic Skills,Team Delta,Rep_2,1216000,Active
